rank,song_last_7_days,song_last_30_days,song_last_120_days
86,Khi Em Lớn,Lễ Đường,"Spooky, quiet, scary atmosphere piano songs"
87,Vẫn Đợi,Kẻ Say Tình - #1,Người Thương Kẻ Ghét
88,指纹,Ngày Này Năm Ấy,beans
89,Có Chàng Trai Viết Lên Cây - DJ Version,Cứ Bước Đi - Minh Tường Remix,Anh Đã Không Biết Cách Yêu Em
90,Capybara,Nhường Lại Nỗi Đau (Remix),Nhớ Người Hay Nhớ (Special Remix)
91,PHONG (feat. TGSN & Tyronee),Moonlit Floor (Kiss Me),
92,Mơ,Coffe and Jazz,Tatu - Thái Hoàng Remix
93,Ну-ну-ну,hey daddy,The Fate of Ophelia
94,Vòng Quay Thời Gian,Easy Lovers - Alternate Take,Happy & Pop songs
95,Dừng Thương,jugg him BAD,Take Your Ease Under The Stars
96,Có Ai Hẹn Hò Cùng Em Chưa,Collide (sped up),Có Sao Cũng Đành - Remix Version
97,Toi Cho Co Gai Do,Golden Hour: Piano Version,"Boom, Boom, Boom, Boom!!"
98,Finding My Memories,Đớn Đau Vô Cùng,fragment - slowed
99,,Tết Luôn Vui Tươi - Extended Mix,Very cute melody by marimba tone(39813)
100,,烟雨入画（耳朵怀孕版）,Montagem Miau
